feature,section,attribute,trust,device_status,device_key,note
Other,alertemail.setting,FDS_license_expiring_warning,authoritative_cli,DEVICE_CONFIRMED,fds-license-expiring-warning,
Other,alertemail.setting,FDS_update_logs,authoritative_cli,DEVICE_CONFIRMED,fds-update-logs,
Other,alertemail.setting,FIPS_CC_errors,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,FSSO_disconnect_logs,authoritative_cli,DEVICE_CONFIRMED,fsso-disconnect-logs,
Other,alertemail.setting,HA_logs,authoritative_cli,DEVICE_CONFIRMED,ha-logs,
Other,alertemail.setting,IPS_logs,authoritative_cli,DEVICE_CONFIRMED,ips-logs,
Other,alertemail.setting,IPsec_errors_logs,authoritative_cli,DEVICE_CONFIRMED,ipsec-errors-logs,
Other,alertemail.setting,PPP_errors_logs,authoritative_cli,DEVICE_CONFIRMED,ppp-errors-logs,
Other,alertemail.setting,admin_login_logs,authoritative_cli,DEVICE_CONFIRMED,admin-login-logs,
Other,alertemail.setting,alert_interval,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,amc_interface_bypass_mode,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,antivirus_logs,authoritative_cli,DEVICE_CONFIRMED,antivirus-logs,
Other,alertemail.setting,configuration_changes_logs,authoritative_cli,DEVICE_CONFIRMED,configuration-changes-logs,
Other,alertemail.setting,critical_interval,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,debug_interval,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,email_interval,authoritative_cli,DEVICE_CONFIRMED,email-interval,
Other,alertemail.setting,emergency_interval,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,error_interval,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,fds_license_expiring_days,secondary_terraform,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,fds_license_expiring_warning,secondary_terraform,DEVICE_CONFIRMED,fds-license-expiring-warning,
Other,alertemail.setting,fds_update_logs,secondary_terraform,DEVICE_CONFIRMED,fds-update-logs,
Other,alertemail.setting,filter_mode,authoritative_cli,DEVICE_CONFIRMED,filter-mode,
Other,alertemail.setting,fips_cc_errors,secondary_terraform,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,firewall_authentication_failure_logs,authoritative_cli,DEVICE_CONFIRMED,firewall-authentication-failure-logs,
Other,alertemail.setting,fortiguard_log_quota_warning,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,fsso_disconnect_logs,secondary_terraform,DEVICE_CONFIRMED,fsso-disconnect-logs,
Other,alertemail.setting,ha_logs,secondary_terraform,DEVICE_CONFIRMED,ha-logs,
Other,alertemail.setting,information_interval,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,ips_logs,secondary_terraform,DEVICE_CONFIRMED,ips-logs,
Other,alertemail.setting,ipsec_errors_logs,secondary_terraform,DEVICE_CONFIRMED,ipsec-errors-logs,
Other,alertemail.setting,local_disk_usage,authoritative_cli,DEVICE_CONFIRMED,local-disk-usage,
Other,alertemail.setting,log_disk_usage_warning,authoritative_cli,DEVICE_CONFIRMED,log-disk-usage-warning,
Other,alertemail.setting,mailto1,authoritative_cli,DEVICE_CONFIRMED,mailto1,
Other,alertemail.setting,mailto2,authoritative_cli,DEVICE_CONFIRMED,mailto2,
Other,alertemail.setting,mailto3,authoritative_cli,DEVICE_CONFIRMED,mailto3,
Other,alertemail.setting,notification_interval,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,ppp_errors_logs,secondary_terraform,DEVICE_CONFIRMED,ppp-errors-logs,
Other,alertemail.setting,severity,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,ssh_logs,authoritative_cli,DEVICE_CONFIRMED,ssh-logs,
Other,alertemail.setting,sslvpn_authentication_errors_logs,authoritative_cli,DEVICE_CONFIRMED,sslvpn-authentication-errors-logs,
Other,alertemail.setting,username,authoritative_cli,DEVICE_CONFIRMED,username,
Other,alertemail.setting,violation_traffic_logs,authoritative_cli,DEVICE_CONFIRMED,violation-traffic-logs,
Other,alertemail.setting,warning_interval,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Other,alertemail.setting,webfilter_logs,authoritative_cli,DEVICE_CONFIRMED,webfilter-logs,
Antivirus,antivirus.exempt-list,comment,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Antivirus,antivirus.exempt-list,hash,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Antivirus,antivirus.exempt-list,hash_type,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
Antivirus,antivirus.exempt-list,name,authoritative_cli,NOT_EXPOSED_TOPLEVEL,,
