feature,sections,section_accepted,section_rejected_or_contextual,top_level_tested,device_confirmed,not_exposed_top_level,nested_parent_confirmed,nested_not_probed,confirmed_pct_top_level
Antivirus,5,4,1,77,14,63,0,158,18.18
Application Control,7,3,4,44,0,44,0,45,0.0
Automation,6,6,0,113,3,110,0,23,2.65
Certificates,5,0,5,0,0,0,0,0,0.0
DLP / CASB / WAF,19,15,4,152,6,146,0,319,3.95
Firewall / NAT,115,69,46,1454,29,1425,1,715,1.99
FortiSwitch,50,46,4,369,98,271,17,433,26.56
HA,2,2,0,93,39,54,1,36,41.94
IPS,8,4,4,54,20,34,5,56,37.04
Identity / AAA,32,27,5,540,44,496,13,55,8.15
Interfaces / Network,11,11,0,505,35,470,2,258,6.93
Logging / Reporting,67,35,32,572,229,343,71,67,40.03
Other,155,50,105,647,97,550,10,517,14.99
Routing,30,26,4,386,147,239,256,693,38.08
SD-WAN,2,1,1,18,16,2,226,56,88.89
System / Platform,167,93,74,1625,584,1041,157,367,35.94
VPN,25,24,1,850,55,795,1,208,6.47
Web Filter / DNS Filter,16,16,0,165,22,143,0,138,13.33
Wireless,44,43,1,802,99,703,32,700,12.34
ZTNA,13,9,4,172,0,172,0,393,0.0
