feature,section,status,kb_top_level_attributes,kb_nested_attributes,device_set_keys,device_config_keys,device_confirmed_top_level,not_exposed_top_level,nested_parent_confirmed
Other,alertemail.setting,SECTION_ACCEPTED,44,0,24,1,30,14,0
Antivirus,antivirus.exempt-list,SECTION_ACCEPTED,5,0,1,1,0,5,0
Antivirus,antivirus.heuristic,SECTION_REJECTED_OR_CONTEXTUAL,1,0,0,0,0,0,0
Antivirus,antivirus.profile,SECTION_ACCEPTED,52,158,1,1,0,52,0
Antivirus,antivirus.quarantine,SECTION_ACCEPTED,13,0,10,1,9,4,0
Antivirus,antivirus.settings,SECTION_ACCEPTED,7,0,6,1,5,2,0
Application Control,application.classificationsettings,SECTION_REJECTED_OR_CONTEXTUAL,1,0,0,0,0,0,0
Application Control,application.custom,SECTION_ACCEPTED,11,0,1,1,0,11,0
Application Control,application.group,SECTION_ACCEPTED,11,3,1,1,0,11,0
Application Control,application.list,SECTION_ACCEPTED,22,42,1,1,0,22,0
Application Control,application.name,SECTION_REJECTED_OR_CONTEXTUAL,15,4,0,0,0,0,0
Application Control,application.rule-settings,SECTION_REJECTED_OR_CONTEXTUAL,2,0,0,0,0,0,0
Application Control,application.unsanctionedapps,SECTION_REJECTED_OR_CONTEXTUAL,5,0,0,0,0,0,0
Identity / AAA,authentication.rule,SECTION_ACCEPTED,19,5,1,1,0,19,0
Identity / AAA,authentication.scheme,SECTION_ACCEPTED,24,1,1,1,0,24,0
Identity / AAA,authentication.setting,SECTION_ACCEPTED,22,2,18,1,17,5,2
Automation,automation.setting,SECTION_ACCEPTED,3,0,4,1,3,0,0
Other,aws.vpce,SECTION_REJECTED_OR_CONTEXTUAL,4,0,0,0,0,0,0
Other,azure.migration,SECTION_REJECTED_OR_CONTEXTUAL,1,0,0,0,0,0,0
Other,azure.vwan-ingress-public-ips,SECTION_REJECTED_OR_CONTEXTUAL,2,0,0,0,0,0,0
Other,azure.vwan-slb,SECTION_REJECTED_OR_CONTEXTUAL,1,0,0,0,0,0,0
DLP / CASB / WAF,casb.attribute-match,SECTION_ACCEPTED,5,14,1,1,0,5,0
DLP / CASB / WAF,casb.profile,SECTION_ACCEPTED,7,36,1,1,0,7,0
DLP / CASB / WAF,casb.saas-application,SECTION_ACCEPTED,9,14,1,1,0,9,0
DLP / CASB / WAF,casb.user-activity,SECTION_ACCEPTED,11,53,1,1,0,11,0
Certificates,certificate.ca,SECTION_REJECTED_OR_CONTEXTUAL,15,0,0,0,0,0,0
Certificates,certificate.crl,SECTION_REJECTED_OR_CONTEXTUAL,14,0,0,0,0,0,0
Certificates,certificate.hsm-local,SECTION_REJECTED_OR_CONTEXTUAL,15,0,0,0,0,0,0
Certificates,certificate.local,SECTION_REJECTED_OR_CONTEXTUAL,41,0,0,0,0,0,0
Certificates,certificate.remote,SECTION_REJECTED_OR_CONTEXTUAL,4,0,0,0,0,0,0
Other,cifs.domaincontroller,SECTION_REJECTED_OR_CONTEXTUAL,7,0,0,0,0,0,0
